address,transaction_count,avg_gas_limit,max_gas_limit,total_excess_gas,additional_cost_eth,splits_required
0x7b6df9b337cd937de47e141171a7b3997e7b8f3a,144,18750000.0,22500000.0,284080896.0,1.1783059620208334e-05,2.0
0xe4b92b7c3097d79cbf74d6153c6c61bbb323c327,142,27494542.274647888,34575273.0,1521860331.0,9.822080496929575e-06,2.0
0x08621813a1b33bc58a97f9d3cc819dbbdde8d572,142,26503295.056338027,31271268.0,1381103226.0,0.00015241064786879581,2.0
0x39419e2f124a2bff928c64494bff67bae96c83d3,141,24632853.609929077,35933443.0,1107644903.0,3.9605239345e-05,2.0
0x4ad514623c668dba5d7625d2073627a5387893f8,141,21403970.609929077,23135969.0,652372400.0,8.10558078206383e-06,2.0
0x477cac2fc44a60492a8b637b77a99be4debcef20,140,23821458.721428573,35860293.0,986193981.0,3.435319692555e-05,2.0
0x00daab746a01a682fe454c12a63de755544f0f6c,140,26686285.714285713,27323000.0,1387269760.0,7.8255e-06,2.0
0x98043f27ceee44e675830220dbf9741aa69307a8,138,30000000.0,30000000.0,1824744192.0,2.753073043228261e-05,2.0
0xae0f94e4c9bcc4bd6b24984430b79476d5d76cb0,137,19625912.408759125,20250000.0,390271408.0,9.069963061083942e-05,2.0
0x8dbee8f3917049bc30fef01924a7ac79d16cf2b9,135,20000000.0,20000000.0,435075840.0,0.00011908592711337778,2.0
0x658b5ac8e6e4c30ffb2ce905c581cf59346640a1,135,19993162.074074075,31048682.0,434152720.0,1.2875811636022223e-05,2.0
0xa0b7db3849595384d8ae26d91fcd1e853947fb26,135,17246892.451851852,17263971.0,63406321.0,7.204806790222222e-06,2.0
0xb28837949e7a3f1ac862036e8a0ae392c9ff9bb4,134,20000000.0,20000000.0,431853056.0,0.00017799997015641045,2.0
0x7c57dfc85f9db5b4bb01483b78b281f32d580f35,134,33328942.746268656,33568925.0,2217931384.0,1.0353694996567164e-05,2.0
