to_address,transaction_count,avg_gas_limit,max_gas_limit
0xe1b0feed918cfa81bcb0e770f6f31ac2b7094921,7,24069820.85714286,24069957.0
0xa59ea6c90fc78685265421a3dcc906160e5e8c55,7,25600000.0,25600000.0
0x74e2b8eee3ea8f4639b81e1e9b230cc9c06e5f6a,7,28466588.57142857,35964845.0
0x9efffce85025252dc037fa9a8894452f27174367,7,21035714.285714287,23050000.0
0xe9c74b7e297bc9ba6e9348b2d36576d24d4af630,7,25958880.57142857,28179717.0
0x33fdb3b9113691681168b0617f0809544277f912,7,27890574.42857143,28461038.0
0x9fd9270033dc2ad2466d2171264b48a80cb41a7f,7,22065000.0,22065000.0
0xb3c047b14076b914487f52b3a55aceb9a4751409,6,25721090.166666668,28733921.0
0x80b1adf81a6a7b7a8e1f587abf29dd0445b5eb5e,6,20000000.0,20000000.0
0x49b52b7f1b7e71b4bc573545277502889e692d6c,6,18637813.5,18638334.0
0x0b173d0cf15a21381e40d4aa7e702834d9780aa5,6,20000000.0,20000000.0
0x67abae94137ffa43d1a08a6dffa2268764cdf36a,6,28328384.5,32628512.0
0xe592427a0aece92de3edee1f18e0157c05861564,6,24112225.0,32400000.0
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,6,25779336.0,34133238.0
0xad2939fa703143226c1b334909e632b035562933,6,17353323.0,17665915.0
0xc2882e43af4687409171eddc69c9b32aae75ed97,6,20000000.0,20000000.0
0xf3de3c0d654fda23dad170f0f320a92172509127,6,28086962.833333332,34199380.0
0xc01318bab7ee1f5ba734172bf7718b5dc6ec90e1,6,25040170.833333332,34033341.0
0x784ca0c006b8651bab183829a99fa46bece50dbc,6,26333333.333333332,30000000.0
0x078b1c03d14652bfeedfadf7985fdf2d8a2e8108,6,26119245.0,30449604.0
0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,6,23576318.833333332,24442113.0
0x66a9893cc07d91d95644aedd05d03f95e1dba8af,6,21361024.666666668,33278956.0
0xe4ff95557f9aba07507ac0851a54c1244be4b723,6,23681766.5,33801188.0
0xa217f273820318892baa83188c70d7574c3d7710,6,23437634.33333333,26367945.0
0x17f281ee8e17b54fa980043db71ce6d5cc87dff5,6,25658337.33333333,31765423.0
0xea6876dde9e3467564acbee1ed5bac88783205e0,6,17194941.0,17433370.0
0x89e488715562c9f2200e5f277d78c5da9e2fa41e,6,20000000.0,20000000.0
0x114f53dbd52830170db06c9399e993b72a449ec4,6,29030392.0,29044440.0
0xa551ab6060b40d3b25c8fd1a5fc2008517a1ad0f,6,20000000.0,20000000.0
0x245eb1a790ac81a7097feb78bf475fdc0567ec8d,6,17101132.833333332,17101308.0
0x6ee977124dc2ad988303d5a75eb11ce9f34c710a,6,17690295.0,17737663.0
0xb5973cabd553f34c32ae2fbc91c94b3bf76db62e,6,19082556.666666668,19676129.0
0x00575b34ec3c88b4480a16fab527e01270b0a582,6,28243215.666666668,34200000.0
0x847b5c174615b1b7fdf770882256e2d3e95b9d92,6,23333333.333333332,25000000.0
0xa2f8cdb0fc716acf8dfae2bb552d590bd59018c6,6,17054279.666666668,17062590.0
0x45d85c0a1168726bbee2352d78e7647f70654d56,6,23847060.666666668,29626530.0
0x3bea26866fce3596e7e994e45a0a65b74e16947e,6,26359586.333333332,34545729.0
0x80bf7db69556d9521c03461978b8fc731dbbd4e4,6,19976031.666666668,29976865.0
0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1,5,19054820.4,21970160.0
0x283e6a6e27365a7363a8e8011d5bd24735c8ae23,5,27351187.8,28500000.0
0x3c1765a07bcde6908b1d6ca5bed6e2ea3667d257,5,27234001.8,28295945.0
0xd95c1b65255eb69303c0159c656976389f8da225,5,18947768.0,18947768.0
0x1c9b543244c7d38776132481203f4eecfa6b3dc0,5,22128313.8,24685314.0
0x2b8bc3f432f5a95aadd0593d39e8bf8a0174b7a4,5,23941571.0,25000000.0
0x7ec6f45093d830a1867d8562b3cd5b090faf059f,5,23296000.0,28900000.0
0x924233bbf26b46752977d4c968fbd5a7242db808,5,20000000.0,20000000.0
0x7f3d609ae33edd47c1ec36a8b4ec6034dbe7e1e9,5,18301149.8,18500000.0
0xb2a51f4a3f3a6a0bf653763bf50830219dc5e62d,5,27986933.2,35760542.0
0x84ffdc9de310144d889540a49052f6d1adb2c335,5,23697114.8,25724726.0
0x000000002b0184b12e908bf97941f2f5385c9820,5,20864108.4,26008297.0
0x4a27e0b3efa2b632e9b8b91941918939b6e721bf,5,30000000.0,30000000.0
0x00a6a98fa15bb673cfb736c57b724e95309dee54,5,21446495.8,21448584.0
0x004395edb43efca9885cedad51ec9faf93bd34ac,5,21115017.6,30616404.0
